slug,path,topic,cluster,publish_date,last_updated,last_validation,affiliate_products,traffic_estimate,status,word_count,readability,broken_links,missing_schema,missing_disclosure,missing_cta,pricing_signal,version_signal,duplicate_competitors_detected,reasons
about,D:\AFFILATE BOT\site_output\about\index.html,About MS Smile AI Review Hub,general,2026-06-14,2026-06-14,2026-06-14,,0,Broken,1149,55.26,1,False,False,True,False,False,False,broken links detected
about-author,D:\AFFILATE BOT\site_output\about-author\index.html,About the Author,general,2026-06-02,2026-06-02,2026-06-02,,0,Broken,605,46.79,1,False,False,True,False,False,False,broken links detected
activecampaign,D:\AFFILATE BOT\site_output\activecampaign\index.html,ActiveCampaign Review,general,2026-06-02,2026-06-02,2026-06-02,activecampaign,0,Broken,2117,57.68,1,False,False,False,False,False,True,broken links detected
adcreative-ai,D:\AFFILATE BOT\site_output\adcreative-ai\index.html,AdCreative AI Review,general,2026-06-02,2026-06-02,2026-06-02,adcreative-ai; AdCreative AI,0,Broken,2130,58.61,1,False,False,False,False,False,True,broken links detected
aeo-action-plan,D:\AFFILATE BOT\site_output\aeo-action-plan\index.html,AEO Action Plan,general,2026-06-02,2026-06-02,2026-06-02,,0,Broken,754,41.88,1,False,False,True,False,False,True,broken links detected
ahrefs-ai,D:\AFFILATE BOT\site_output\ahrefs-ai\index.html,Ahrefs AI Review,general,2026-06-02,2026-06-02,2026-06-02,ahrefs; Ahrefs AI,0,Broken,2120,59.07,2,False,False,False,False,False,True,broken links detected
ai-app-builder-alternatives,D:\AFFILATE BOT\site_output\ai-app-builder-alternatives\index.html,Best AI App Builder Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2160,57.03,1,False,False,False,False,False,False,broken links detected
ai-app-builder-software-review,D:\AFFILATE BOT\site_output\ai-app-builder-software-review\index.html,AI App Builder Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2277,56.97,1,False,False,False,False,False,True,broken links detected
ai-assistant-alternatives,D:\AFFILATE BOT\site_output\ai-assistant-alternatives\index.html,Best AI Assistant Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2149,56.86,1,False,False,False,False,False,False,broken links detected
ai-assistant-software-comparison,D:\AFFILATE BOT\site_output\ai-assistant-software-comparison\index.html,"AI Assistant Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",general,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6069,53.84,5,False,False,True,True,False,True,broken links detected
ai-assistant-software-review,D:\AFFILATE BOT\site_output\ai-assistant-software-review\index.html,AI Assistant Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2273,57.01,1,False,False,False,False,False,True,broken links detected
ai-coding-alternatives,D:\AFFILATE BOT\site_output\ai-coding-alternatives\index.html,Best AI Coding Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2170,57.14,1,False,False,False,False,False,False,broken links detected
ai-coding-software-comparison,D:\AFFILATE BOT\site_output\ai-coding-software-comparison\index.html,"AI Coding Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",general,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6136,54.27,5,False,False,True,True,False,True,broken links detected
ai-coding-software-review,D:\AFFILATE BOT\site_output\ai-coding-software-review\index.html,AI Coding Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2270,57.03,1,False,False,False,False,False,True,broken links detected
ai-design-alternatives,D:\AFFILATE BOT\site_output\ai-design-alternatives\index.html,Best AI Design Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2152,57.24,2,False,False,False,False,False,False,broken links detected
ai-design-software-review,D:\AFFILATE BOT\site_output\ai-design-software-review\index.html,"AI Design Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",review,2026-06-13,2026-06-13,2026-06-13,,0,Broken,6141,55.83,4,False,False,True,True,False,True,broken links detected
ai-image-alternatives,D:\AFFILATE BOT\site_output\ai-image-alternatives\index.html,Best AI Image Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2138,57.22,2,False,False,False,False,False,False,broken links detected
ai-image-software-review,D:\AFFILATE BOT\site_output\ai-image-software-review\index.html,AI Image Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2269,57.52,2,False,False,False,False,False,True,broken links detected
ai-meeting-alternatives,D:\AFFILATE BOT\site_output\ai-meeting-alternatives\index.html,Best AI Meeting Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2143,57.09,2,False,False,False,False,False,False,broken links detected
ai-meeting-software-review,D:\AFFILATE BOT\site_output\ai-meeting-software-review\index.html,AI Meeting Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2266,56.92,2,False,False,False,False,False,True,broken links detected
ai-productivity-alternatives,D:\AFFILATE BOT\site_output\ai-productivity-alternatives\index.html,Best AI Productivity Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2148,56.83,2,False,False,False,False,False,False,broken links detected
ai-productivity-software-review,D:\AFFILATE BOT\site_output\ai-productivity-software-review\index.html,AI Productivity Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2264,57.08,1,False,False,False,False,False,True,broken links detected
ai-search-alternatives,D:\AFFILATE BOT\site_output\ai-search-alternatives\index.html,Best AI Search Alternatives for 2026,general,2026-07-06,2026-07-06,2026-07-06,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2145,57.45,1,False,False,False,False,False,False,broken links detected
ai-search-software-review,D:\AFFILATE BOT\site_output\ai-search-software-review\index.html,AI Search Software Review: Research-Style Review for 2026,review,2026-06-14,2026-06-14,2026-06-14,activecampaign; surfer-seo; semrush; github-copilot; elevenlabs,0,Broken,2270,57.65,1,False,False,False,False,False,True,broken links detected
