check,status,details
site_output,PASS,D:\AFFILATE BOT\site_output
index.html,PASS,D:\AFFILATE BOT\site_output\index.html
sitemap.xml,PASS,D:\AFFILATE BOT\site_output\sitemap.xml
robots.txt,PASS,D:\AFFILATE BOT\site_output\robots.txt
sitemap_has_no_go,PASS,sitemap.xml must not include tracking URLs
go_pages_exist,PASS,34 go tracking pages
sitemap_targets_exist,PASS,210 sitemap URLs checked
placeholder_scan,PASS,0 placeholder hits
metadata_scan,PASS,0 canonical/meta issues
internal_link_scan,PASS,0 broken internal links
homepage,PASS,1
review_pages,PASS,27
comparison_pages,PASS,36
pricing_pages,PASS,10
category_pages,PASS,21
hub_pages,PASS,13
priority_pages,PASS,23
go_tracking_pages,PASS,34
total_sitemap_urls,PASS,210
total_html_files,PASS,244
