offer_id,brand_name,landing_page,landing_page_url,status
activecampaign,ActiveCampaign,D:\AFFILATE BOT\landing_pages\output\activecampaign\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/activecampaign/index.html,created
make,Make,D:\AFFILATE BOT\landing_pages\output\make\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/make/index.html,created
surfer-seo,Surfer SEO,D:\AFFILATE BOT\landing_pages\output\surfer-seo\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/surfer-seo/index.html,created
github-copilot,GitHub Copilot,D:\AFFILATE BOT\landing_pages\output\github-copilot\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/github-copilot/index.html,created
semrush,Semrush,D:\AFFILATE BOT\landing_pages\output\semrush\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/semrush/index.html,created
elevenlabs,ElevenLabs,D:\AFFILATE BOT\landing_pages\output\elevenlabs\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/elevenlabs/index.html,created
zapier,Zapier,D:\AFFILATE BOT\landing_pages\output\zapier\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/zapier/index.html,created
webflow-ai,Webflow AI,D:\AFFILATE BOT\landing_pages\output\webflow-ai\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/webflow-ai/index.html,created
hubspot,HubSpot,D:\AFFILATE BOT\landing_pages\output\hubspot\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/hubspot/index.html,created
reclaim-ai,Reclaim AI,D:\AFFILATE BOT\landing_pages\output\reclaim-ai\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/reclaim-ai/index.html,created
webflow,Webflow,D:\AFFILATE BOT\landing_pages\output\webflow\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/webflow/index.html,created
cursor,Cursor,D:\AFFILATE BOT\landing_pages\output\cursor\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/cursor/index.html,created
notion-ai,Notion AI,D:\AFFILATE BOT\landing_pages\output\notion-ai\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/notion-ai/index.html,created
framer,Framer,D:\AFFILATE BOT\landing_pages\output\framer\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/framer/index.html,created
durable,Durable,D:\AFFILATE BOT\landing_pages\output\durable\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/durable/index.html,created
gamma,Gamma,D:\AFFILATE BOT\landing_pages\output\gamma\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/gamma/index.html,created
adcreative-ai,AdCreative AI,D:\AFFILATE BOT\landing_pages\output\adcreative-ai\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/adcreative-ai/index.html,created
jasper,Jasper,D:\AFFILATE BOT\landing_pages\output\jasper\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/jasper/index.html,created
jasper-ai,Jasper AI,D:\AFFILATE BOT\landing_pages\output\jasper-ai\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/jasper-ai/index.html,created
canva,Canva,D:\AFFILATE BOT\landing_pages\output\canva\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/canva/index.html,created
notion,Notion,D:\AFFILATE BOT\landing_pages\output\notion\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/notion/index.html,created
synthesia,Synthesia,D:\AFFILATE BOT\landing_pages\output\synthesia\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/synthesia/index.html,created
pipedrive,Pipedrive,D:\AFFILATE BOT\landing_pages\output\pipedrive\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/pipedrive/index.html,created
pipedrive-crm,Pipedrive CRM,D:\AFFILATE BOT\landing_pages\output\pipedrive-crm\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/pipedrive-crm/index.html,created
copy-ai,Copy.ai,D:\AFFILATE BOT\landing_pages\output\copy-ai\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/copy-ai/index.html,created
descript,Descript,D:\AFFILATE BOT\landing_pages\output\descript\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/descript/index.html,created
runway,Runway,D:\AFFILATE BOT\landing_pages\output\runway\index.html,file:///D:/AFFILATE%20BOT/landing_pages/output/runway/index.html,created
