post_id,language,platform,title,url,character_count,output_path
cursor-facebook-en,en,facebook,Cursor review,https://review.mssmileenglish.com/cursor/,682,D:\AFFILATE BOT\social_assets\cursor\cursor-facebook-en.md
cursor-linkedin-en,en,linkedin,Cursor review,https://review.mssmileenglish.com/cursor/,947,D:\AFFILATE BOT\social_assets\cursor\cursor-linkedin-en.md
cursor-twitter-en,en,twitter,Cursor review,https://review.mssmileenglish.com/cursor/,449,D:\AFFILATE BOT\social_assets\cursor\cursor-twitter-en.md
cursor-short_video-en,en,short_video,Cursor review,https://review.mssmileenglish.com/cursor/,503,D:\AFFILATE BOT\social_assets\cursor\cursor-short_video-en.md
vi-cursor-facebook-vi,vi,facebook,Cursor review,https://review.mssmileenglish.com/vi/cursor/,642,D:\AFFILATE BOT\social_assets\vi-cursor\vi-cursor-facebook-vi.md
vi-cursor-linkedin-vi,vi,linkedin,Cursor review,https://review.mssmileenglish.com/vi/cursor/,903,D:\AFFILATE BOT\social_assets\vi-cursor\vi-cursor-linkedin-vi.md
vi-cursor-twitter-vi,vi,twitter,Cursor review,https://review.mssmileenglish.com/vi/cursor/,385,D:\AFFILATE BOT\social_assets\vi-cursor\vi-cursor-twitter-vi.md
vi-cursor-short_video-vi,vi,short_video,Cursor review,https://review.mssmileenglish.com/vi/cursor/,422,D:\AFFILATE BOT\social_assets\vi-cursor\vi-cursor-short_video-vi.md
windsurf-review-facebook-en,en,facebook,Windsurf review,https://review.mssmileenglish.com/windsurf-review/,693,D:\AFFILATE BOT\social_assets\windsurf-review\windsurf-review-facebook-en.md
windsurf-review-linkedin-en,en,linkedin,Windsurf review,https://review.mssmileenglish.com/windsurf-review/,985,D:\AFFILATE BOT\social_assets\windsurf-review\windsurf-review-linkedin-en.md
windsurf-review-twitter-en,en,twitter,Windsurf review,https://review.mssmileenglish.com/windsurf-review/,460,D:\AFFILATE BOT\social_assets\windsurf-review\windsurf-review-twitter-en.md
windsurf-review-short_video-en,en,short_video,Windsurf review,https://review.mssmileenglish.com/windsurf-review/,516,D:\AFFILATE BOT\social_assets\windsurf-review\windsurf-review-short_video-en.md
vi-windsurf-review-facebook-vi,vi,facebook,Windsurf review,https://review.mssmileenglish.com/vi/windsurf-review/,653,D:\AFFILATE BOT\social_assets\vi-windsurf-review\vi-windsurf-review-facebook-vi.md
vi-windsurf-review-linkedin-vi,vi,linkedin,Windsurf review,https://review.mssmileenglish.com/vi/windsurf-review/,914,D:\AFFILATE BOT\social_assets\vi-windsurf-review\vi-windsurf-review-linkedin-vi.md
vi-windsurf-review-twitter-vi,vi,twitter,Windsurf review,https://review.mssmileenglish.com/vi/windsurf-review/,396,D:\AFFILATE BOT\social_assets\vi-windsurf-review\vi-windsurf-review-twitter-vi.md
vi-windsurf-review-short_video-vi,vi,short_video,Windsurf review,https://review.mssmileenglish.com/vi/windsurf-review/,435,D:\AFFILATE BOT\social_assets\vi-windsurf-review\vi-windsurf-review-short_video-vi.md
comparisons-cursor-vs-windsurf-facebook-en,en,facebook,Cursor vs Windsurf,https://review.mssmileenglish.com/comparisons/cursor-vs-windsurf/,711,D:\AFFILATE BOT\social_assets\comparisons-cursor-vs-windsurf\comparisons-cursor-vs-windsurf-facebook-en.md
comparisons-cursor-vs-windsurf-linkedin-en,en,linkedin,Cursor vs Windsurf,https://review.mssmileenglish.com/comparisons/cursor-vs-windsurf/,990,D:\AFFILATE BOT\social_assets\comparisons-cursor-vs-windsurf\comparisons-cursor-vs-windsurf-linkedin-en.md
comparisons-cursor-vs-windsurf-twitter-en,en,twitter,Cursor vs Windsurf,https://review.mssmileenglish.com/comparisons/cursor-vs-windsurf/,478,D:\AFFILATE BOT\social_assets\comparisons-cursor-vs-windsurf\comparisons-cursor-vs-windsurf-twitter-en.md
comparisons-cursor-vs-windsurf-short_video-en,en,short_video,Cursor vs Windsurf,https://review.mssmileenglish.com/comparisons/cursor-vs-windsurf/,544,D:\AFFILATE BOT\social_assets\comparisons-cursor-vs-windsurf\comparisons-cursor-vs-windsurf-short_video-en.md
vi-comparisons-cursor-vs-windsurf-facebook-vi,vi,facebook,Cursor vs Windsurf,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,671,D:\AFFILATE BOT\social_assets\vi-comparisons-cursor-vs-windsurf\vi-comparisons-cursor-vs-windsurf-facebook-vi.md
vi-comparisons-cursor-vs-windsurf-linkedin-vi,vi,linkedin,Cursor vs Windsurf,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,932,D:\AFFILATE BOT\social_assets\vi-comparisons-cursor-vs-windsurf\vi-comparisons-cursor-vs-windsurf-linkedin-vi.md
vi-comparisons-cursor-vs-windsurf-twitter-vi,vi,twitter,Cursor vs Windsurf,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,414,D:\AFFILATE BOT\social_assets\vi-comparisons-cursor-vs-windsurf\vi-comparisons-cursor-vs-windsurf-twitter-vi.md
vi-comparisons-cursor-vs-windsurf-short_video-vi,vi,short_video,Cursor vs Windsurf,https://review.mssmileenglish.com/vi/comparisons/cursor-vs-windsurf/,463,D:\AFFILATE BOT\social_assets\vi-comparisons-cursor-vs-windsurf\vi-comparisons-cursor-vs-windsurf-short_video-vi.md
comparisons-copilot-vs-cursor-facebook-en,en,facebook,Copilot vs Cursor,https://review.mssmileenglish.com/comparisons/copilot-vs-cursor/,709,D:\AFFILATE BOT\social_assets\comparisons-copilot-vs-cursor\comparisons-copilot-vs-cursor-facebook-en.md
comparisons-copilot-vs-cursor-linkedin-en,en,linkedin,Copilot vs Cursor,https://review.mssmileenglish.com/comparisons/copilot-vs-cursor/,1020,D:\AFFILATE BOT\social_assets\comparisons-copilot-vs-cursor\comparisons-copilot-vs-cursor-linkedin-en.md
comparisons-copilot-vs-cursor-twitter-en,en,twitter,Copilot vs Cursor,https://review.mssmileenglish.com/comparisons/copilot-vs-cursor/,476,D:\AFFILATE BOT\social_assets\comparisons-copilot-vs-cursor\comparisons-copilot-vs-cursor-twitter-en.md
comparisons-copilot-vs-cursor-short_video-en,en,short_video,Copilot vs Cursor,https://review.mssmileenglish.com/comparisons/copilot-vs-cursor/,548,D:\AFFILATE BOT\social_assets\comparisons-copilot-vs-cursor\comparisons-copilot-vs-cursor-short_video-en.md
vi-comparisons-copilot-vs-cursor-facebook-vi,vi,facebook,Copilot vs Cursor,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,669,D:\AFFILATE BOT\social_assets\vi-comparisons-copilot-vs-cursor\vi-comparisons-copilot-vs-cursor-facebook-vi.md
vi-comparisons-copilot-vs-cursor-linkedin-vi,vi,linkedin,Copilot vs Cursor,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,930,D:\AFFILATE BOT\social_assets\vi-comparisons-copilot-vs-cursor\vi-comparisons-copilot-vs-cursor-linkedin-vi.md
vi-comparisons-copilot-vs-cursor-twitter-vi,vi,twitter,Copilot vs Cursor,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,412,D:\AFFILATE BOT\social_assets\vi-comparisons-copilot-vs-cursor\vi-comparisons-copilot-vs-cursor-twitter-vi.md
vi-comparisons-copilot-vs-cursor-short_video-vi,vi,short_video,Copilot vs Cursor,https://review.mssmileenglish.com/vi/comparisons/copilot-vs-cursor/,467,D:\AFFILATE BOT\social_assets\vi-comparisons-copilot-vs-cursor\vi-comparisons-copilot-vs-cursor-short_video-vi.md
best-ai-coding-tools-2026-facebook-en,en,facebook,Best AI Coding Tools 2026,https://review.mssmileenglish.com/best-ai-coding-tools-2026/,713,D:\AFFILATE BOT\social_assets\best-ai-coding-tools-2026\best-ai-coding-tools-2026-facebook-en.md
best-ai-coding-tools-2026-linkedin-en,en,linkedin,Best AI Coding Tools 2026,https://review.mssmileenglish.com/best-ai-coding-tools-2026/,988,D:\AFFILATE BOT\social_assets\best-ai-coding-tools-2026\best-ai-coding-tools-2026-linkedin-en.md
best-ai-coding-tools-2026-twitter-en,en,twitter,Best AI Coding Tools 2026,https://review.mssmileenglish.com/best-ai-coding-tools-2026/,480,D:\AFFILATE BOT\social_assets\best-ai-coding-tools-2026\best-ai-coding-tools-2026-twitter-en.md
best-ai-coding-tools-2026-short_video-en,en,short_video,Best AI Coding Tools 2026,https://review.mssmileenglish.com/best-ai-coding-tools-2026/,543,D:\AFFILATE BOT\social_assets\best-ai-coding-tools-2026\best-ai-coding-tools-2026-short_video-en.md
vi-best-ai-coding-tools-2026-facebook-vi,vi,facebook,Best AI Coding Tools 2026,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,673,D:\AFFILATE BOT\social_assets\vi-best-ai-coding-tools-2026\vi-best-ai-coding-tools-2026-facebook-vi.md
vi-best-ai-coding-tools-2026-linkedin-vi,vi,linkedin,Best AI Coding Tools 2026,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,934,D:\AFFILATE BOT\social_assets\vi-best-ai-coding-tools-2026\vi-best-ai-coding-tools-2026-linkedin-vi.md
vi-best-ai-coding-tools-2026-twitter-vi,vi,twitter,Best AI Coding Tools 2026,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,416,D:\AFFILATE BOT\social_assets\vi-best-ai-coding-tools-2026\vi-best-ai-coding-tools-2026-twitter-vi.md
vi-best-ai-coding-tools-2026-short_video-vi,vi,short_video,Best AI Coding Tools 2026,https://review.mssmileenglish.com/vi/best-ai-coding-tools-2026/,462,D:\AFFILATE BOT\social_assets\vi-best-ai-coding-tools-2026\vi-best-ai-coding-tools-2026-short_video-vi.md
