id,brand,slug,source_type,source_name,source_url,canonical_source,verification_status,verification_date,verified_by,confidence,freshness_score,trust_score,official_score,pricing_score,affiliate_score,release_notes_score,competitor_score,duplicate_of,last_seen,first_seen,version,history,notes,reason
elevenlabs:affiliate_program_page:elevenlabs-io-affiliates,ElevenLabs,elevenlabs,affiliate_program_page,ElevenLabs Affiliates Program,https://elevenlabs.io/affiliates,elevenlabs.io/affiliates,verified,2026-07-07T00:00:00+00:00,system,93.0,100,99,0,0,99,0,0,,2026-07-07T09:37:31.258087+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.261385+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official ElevenLabs affiliate program page reviewed on 2026-07-07.,
elevenlabs:official_docs:elevenlabs-io-docs-overview-intro,ElevenLabs,elevenlabs,official_docs,ElevenLabs Documentation,https://elevenlabs.io/docs/overview/intro,elevenlabs.io/docs/overview/intro,verified,2026-07-07T00:00:00+00:00,system,94.0,100,100,100,0,0,0,0,,2026-07-07T09:37:31.258087+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.258286+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official ElevenLabs documentation entrypoint reviewed on 2026-07-07.,
elevenlabs:pricing_page:elevenlabs-io-pricing,ElevenLabs,elevenlabs,pricing_page,ElevenLabs Pricing,https://elevenlabs.io/pricing,elevenlabs.io/pricing,verified,2026-07-07T00:00:00+00:00,system,95.0,100,100,0,100,0,0,0,,2026-07-07T09:37:31.258087+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.260712+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official ElevenLabs pricing page reviewed on 2026-07-07.,
elevenlabs:product_page:elevenlabs-io,ElevenLabs,elevenlabs,product_page,ElevenLabs Product Homepage,https://elevenlabs.io/,elevenlabs.io/,verified,2026-07-07T00:00:00+00:00,system,88.0,100,96,96,0,0,0,0,,2026-07-07T09:37:31.258087+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.262541+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official ElevenLabs product reference page reviewed on 2026-07-07.,
elevenlabs:release_notes:elevenlabs-io-docs-changelog,ElevenLabs,elevenlabs,release_notes,ElevenLabs Changelog,https://elevenlabs.io/docs/changelog,elevenlabs.io/docs/changelog,verified,2026-07-07T00:00:00+00:00,system,90.0,100,98,0,0,0,98,0,,2026-07-07T09:37:31.258087+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.261965+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official ElevenLabs changelog reviewed on 2026-07-07.,
notion:affiliate_program_page:www-notion-com-partners,Notion,notion,affiliate_program_page,Notion Partner Programs,https://www.notion.com/partners,www.notion.com/partners,verified,2026-07-07T00:00:00+00:00,system,90.0,100,98,0,0,98,0,0,,2026-07-07T09:37:31.712900+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.714461+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Notion partner page includes affiliate and builder partner information; reviewed on 2026-07-07.,
notion:official_docs:www-notion-com-help,Notion,notion,official_docs,Notion Help Center,https://www.notion.com/help,www.notion.com/help,verified,2026-07-07T00:00:00+00:00,system,94.0,100,100,100,0,0,0,0,,2026-07-07T09:37:31.712900+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.713081+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Notion documentation and help center reviewed on 2026-07-07.,
notion:pricing_page:www-notion-com-pricing,Notion,notion,pricing_page,Notion Pricing,https://www.notion.com/pricing,www.notion.com/pricing,verified,2026-07-07T00:00:00+00:00,system,95.0,100,100,0,100,0,0,0,,2026-07-07T09:37:31.712900+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.713802+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Notion pricing page reviewed on 2026-07-07.,
notion:product_page:www-notion-com,Notion,notion,product_page,Notion Product Homepage,https://www.notion.com/,www.notion.com/,verified,2026-07-07T00:00:00+00:00,system,88.0,100,96,96,0,0,0,0,,2026-07-07T09:37:31.712900+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.715804+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Notion product reference page reviewed on 2026-07-07.,
notion:release_notes:www-notion-com-releases,Notion,notion,release_notes,Notion Releases,https://www.notion.com/releases,www.notion.com/releases,verified,2026-07-07T00:00:00+00:00,system,91.0,100,98,0,0,0,98,0,,2026-07-07T09:37:31.712900+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:31.715156+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Notion release notes page reviewed on 2026-07-07.,
reclaim-ai:affiliate_program_page:reclaim-ai-affiliate-program,Reclaim AI,reclaim-ai,affiliate_program_page,Reclaim AI Affiliate Program,https://reclaim.ai/affiliate-program,reclaim.ai/affiliate-program,verified,2026-07-07T00:00:00+00:00,system,93.0,100,99,0,0,99,0,0,,2026-07-07T09:37:30.979129+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:30.981214+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Reclaim AI affiliate program page reviewed on 2026-07-07.,
reclaim-ai:official_docs:help-reclaim-ai,Reclaim AI,reclaim-ai,official_docs,Reclaim AI Help Center,https://help.reclaim.ai/,help.reclaim.ai/,verified,2026-07-07T00:00:00+00:00,system,92.0,100,99,99,0,0,0,0,,2026-07-07T09:37:30.979129+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:30.979325+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Reclaim AI help center entrypoint reviewed on 2026-07-07.,
reclaim-ai:pricing_page:reclaim-ai-pricing,Reclaim AI,reclaim-ai,pricing_page,Reclaim AI Pricing,https://reclaim.ai/pricing,reclaim.ai/pricing,verified,2026-07-07T00:00:00+00:00,system,95.0,100,100,0,100,0,0,0,,2026-07-07T09:37:30.979129+00:00,2026-07-07T00:00:00+00:00,2,"[{""at"": ""2026-07-07T09:37:30.980414+00:00"", ""action"": ""updated"", ""version"": 2, ""changed_fields"": [""verified_by""]}]",Official Reclaim AI pricing page reviewed on 2026-07-07.,
